Error                          Corrected                     
Jaabutee                       Jabute                        
Duez                           Duni                          
Bicho                          Bicho                         
DuHo                           Duho                          
Cidu                           Kidu                          
Bakodofo                       Bakodupo                      
Vowpammu                       Vopamu                        
Kaduwa                         Kauwa                         
Haarh                          Haath                         
Sahge                          Shage                         
shyvo                          Shovo                         
Khesa                          Kesa                          
ghAlUU                         Ghalu                         
Shojo                          Chojo                         
Kaabi                          Kabi                          
dHaGHadE                       Dhaghade                      
LaDI                           Ladi                          
bego                           Bego                          
Neshha                         Nesha                         
khogha                         Khogha                        
hSuchha                        Huchha                        
jela                           Jela                          
Haswa                          Hasna                         
Jihichodci                     Jihichodi                     
Suhha                          Supha                         
jeru                           Jeru                          
BABi                           Babi                          
Gima                           Gima                          
Gaano                          Ghano                         
Krichnna                       Krishna                       
GIVVO                          Givo                          
bobo                           Bobo                          
ThaPe                          Thape                         
jjue                           Juje                          
Roku                           Ruku                          
Chuuvo                         Chuvo                         
ghajha                         Ghajha                        
ado                            Bado                          
Naukike                        Nukike                        
Patul                          Patlu                         
Kaaga                          Kaga                          
Shuepekha                      Shupekha                      
DiBa                           Diba                          
Pihu                           Pihu                          
Kachhabhasi                    Kuchhabhasi                   
Vamme                          Vame                          
KAPnI                          Kani                          
dapi                           Dapu                          
NNagesu                        Nagesu                        
ePho                           Peho                          
keshuvi                        Keshuvi                       
SETHARU                        Setharu                       
KKhojoju                       Khojoju                       
Nodhakika                      Nodhakuka                     
uKha                           Usha                          
Saunnuge                       Saunnuge                      
Kalpemsh                       Kalpesh                       
qhheve                         Heve                          
VUCHU                          Vuchu                         
VOES                           Vose                          
uuca                           Puka                          
Jeiti                          Jiti                          
shhibhako                      Shibhako                      
yakhi                          Yakhi                         
Vitbi                          Vibi                          
nudo                           Nudo                          
Gli                            Gili                          
CChOsHAsu                      Choshasu                      
Kula                           Kulu                          
Letaqhi                        Letakhi                       
loha                           Loha                          
uhahe                          Ghahe                         
Vidosho                        Bidosha                       
keba                           Keba                          
eBho                           Beho                          
eGzu                           Negu                          
keevetmo                       Kevemo                        
Acha                           Asha                          
dana                           Dana                          
TIKAAMU                        Tikamu                        
Lale                           Lalu                          
Rarbi                          Rabi                          
Teci                           Tesi                          
Jaurechho                      Jaurechho                     
SHIHHO                         Shiho                         
gakhamaju                      Gakhamaju                     
Bevo                           Vevo                          
Shemme                         Sheme                         
Takiyaa                        Takiya                        
iGuho                          Guho                          
Vaphha                         Vachha                        
Pochhaajo                      Pochhajo                      
gie                            Give                          
Jalino                         Galimo                        
Mazgeti                        Majeti                        
HSUVI                          Shuvi                         
Chabhajha                      Chhabhajha                    
hUre                           Hure                          
Phala                          Bhala                         
Seddhu                         Vedohu                        
Tijhhate                       Tijhate                       
UBHANU                         Ubhanu                        
Juos                           Juso                          
ubhakha                        Subhakha                      
Dignida                        Dinida                        
alobishe                       Ralobishe                     
pEReGo                         Perego                        
Nizu                           Nisu                          
Hawaa                          Hawa                          
Sidhoo                         Sichoto                       
kURSi                          Kursi                         
Kashe                          Kishe                         
RRopa                          Ropa                          
Hoyusha                        Hoyasha                       
dopahhr                        Dopahar                       
TITE                           Tite                          
Khhani                         Khani                         
Bhapra                         Bhapha                        
dhjaby                         Dhaba                         
Phhada                         Phada                         
Hwdha                          Hodha                         
Hubuu                          Hubu                          
Nokho                          Nokho                         
PPeshu                         Peshu                         
Kjhimo                         Khimo                         
Viuv                           Vivu                          
GTU                            Gutu                          
Vur                            Vuri                          
NeHO                           Meho                          
Juqiho                         Jukiho                        
Luroyo                         Ruroya                        
Aavjoi                         Aavjo                         
Nneeva                         Neva                          
Pagedk                         Pagedi                        
DOGgTUo                        Doguto                        
Leba                           Lebu                          
Dhobase                        Dhabasa                       
Chiikope                       Chikope                       
Sadhupalo                      Sadhapalo                     
lkkhi                          Lokhi                         
Jojelii                        Jogeli                        
Surech                         Suresh                        
Pacha                          Bacha                         
zaanu                          Saanp                         
Gischo                         Gicho                         
GUSHISU                        Gushisu                       
Mji                            Meji                          
lool                           Laal                          
Denehirra                      Denehira                      
Hiochha                        Hichha                        
SIKOPU                         Sikopu                        
Benha                          Bepha                         
whijopee                       whijopee                      
EKBA                           Keba                          
LACHABO                        Lachabo                       
Rorru                          Roru                          
Mudaj                          Muda                          
mOsHEDolO                      Moshedolo                     
Gukekekhu                      Gakekekhu                     
pHAMUpALi                      Phamupali                     
KKoga                          Koga                          
Dafohu                         Davohu                        
Tap                            Tapo                          
sakho                          Sakho                         
Chhaghaneja                    Chhaghanegu                   
lagema                         Lejema                        
madi                           Madi                          
Dhar                           Char                          
uma                            Suma                          
Pasha                          Posha                         
Neepaa                         Neela                         
Diikhi                         Dikhi                         
LUSHI                          Lushi                         
sEKhU                          Sekhu                         
vuBI                           Vobi                          
Chupatacshu                    Chupatashu                    
iJre                           Jire                          
Sie                            Sir                           
PALEYA                         Paleya                        
Nugkoso                        Nugoso                        
hath                           Hata                          
Shhasogi                       Chhasogi                      
imijha                         Kimijha                       
Peihi                          Pihi                          
MUNOKO                         Munoko                        
peLIJhA                        Pelijha                       
Suhtiguba                      Shutiguba                     
ginevu                         Ginevu                        
Mlii                           Mili                          
KKhooju                        Khojoju                       
MEELORU                        Miloru                        
fhHAkHu                        Chhakhu                       
Leghachu                       Reghachu                      
shubu                          Shubu                         
Dhafo                          Dhako                         
THAANOe                        Thano                         
Jemmipi                        Jemipi                        
hhocho                         Chocho                        
Mujaa                          Mujha                         
chakhani                       Chakhani                      
SbeU                           Sau                           
DeNEhIrA                       Denehira                      
SYDU                           Sodu                          
Kiyu                           Kiya                          
tToofUm                        tToofUm                       
Gareeeb                        Gareeb                        
Rozuni                         Losuni                        
PoKupO                         Pokupo                        
LOMU                           Lomu                          
Khuli                          Khuli                         
Lega                           Lega                          
Danupw                         Danupe                        
jukHinOjU                      Jukhinoju                     
Jepo                           Japo                          
fhabho                         Phabha                        
ghaka                          Ghaka                         
Guubho                         Gubuho                        
leerokuso                      Rerokuso                      
Nukhiyaa                       Nukhiya                       
Gihavuu                        Gihavu                        
CahGo                          Chago                         
klakau                         Lakhu                         
REchObHa                       Rechobha                      
JaPo                           Japo                          
Sotofe                         Sotope                        
sudu                           Sodu                          
Caasjou                        Caasjou                       
Kishelimmo                     Kishelimo                     
TUDaPu                         Tudapu                        
LIHILE                         Lihile                        
wnonhu                         Noshu                         
Mojesupu                       Majesupu                      
Moroo                          Moro                          
Gbahagura                      Gabhagura                     
NETUSAVU                       Netusavu                      
Toju                           Toju                          
Mytulu                         Mituru                        
Teenehu                        Tenehu                        
Leekhna                        Likhna                        
Peeku                          Peena                         
Khandvri                       Khandvi                       
Lode                           Rode                          
TEMNU                          Tenu                          
Rymishu                        Rimishu                       
Jiggnesh                       Jignesh                       
Peuu                           Penu                          
heppi                          Hepi                          
Sookhi                         Sookha                        
chiVa                          Chiva                         
LLumokhu                       Lumokhu                       
Vobapufo                       Vabapupo                      
uchamive                       Suchamive                     
Kuukike                        Kukike                        
Machuchy                       Machuchi                      
Pehhi                          Pekhi                         
reki                           Reki                          
KukIJhAKHU                     Kukijhakhu                    
Dooshhman                      Dooshhman                     
Neja                           Nija                          
Shinivii                       Shinivi                       
lutosa                         Lutosa                        
reke                           Reke                          
pisohe                         Pisohe                        
yalo                           Yalo                          
DUHE                           Duhe                          
Chhovu                         Chhava                        
Bucha                          Bacha                         
Tuqu                           Tuku                          
aJweko                         Javeko                        
kHochI                         Khochi                        
Bes                            Ben                           
Hophha                         Hopha                         
Pevomma                        Pevoma                        
Letatu                         Letutu                        
vejO                           Vejo                          
Hadq                           Hadi                          
ropazya                        Ropajha                       
Dilri                          Dikri                         
gitiru                         Gitiru                        
Ghagugau                       Ghagugau                      
Vamoshy                        Vemoshi                       
MUKETI                         Muketi                        
Hipchavu                       Hichavu                       
RReme                          Reme                          
uemipi                         Jemipi                        
Gdi                            Gedi                          
Leuamome                       Leyamome                      
Supinoo                        Supino                        
SBABIQO                        Shabiko                       
HHoludo                        Holudo                        
Hkia                           Hika                          
Shujdchi                       Shujechi                      
ojhaghA                        Jhagha                        
ShiSI                          Shisi                         
TTerah                         Terah                         
diphako                        Diphako                       
Ruel                           Rule                          
Chebi                          Chibi                         
kicho                          Kicha                         
goilmo                         Gomo                          
Bolagejaa                      Bolageja                      
Khuvu                          Khavu                         
Bharath                        Bharat                        
Bemeekhu                       Bemekhu                       
NANHU                          Nanhu                         
qShija                         Shija                         
Khuchuphari                    Khuchuphali                   
bisido                         Bisido                        
Lamu                           Lamo                          
Bes                            Ben                           
joSe                           Jose                          
Rujel                          Rujelu                        
Nesoo                          Neso                          
hApa                           Hapa                          
mobi                           Mobi                          
Hemmi                          Hemi                          
veTirouV                       Vetirovu                      
NAKHU                          Nakhu                         
MuRgi                          Murgi                         
Met                            Pet                           
Phachhuve                      Phachuve                      
cHHAShi                        Chhashi                       
Mitr                           Mito                          
Psuo                           Puso                          
hGatodha                       Ghatodha                      
Bhanish                        Bhavesh                       
hurumoke                       Churumoke                     
Chasita                        Chasipa                       
Hashhuvy                       Hashhuvy                      
LUMOKHU                        Lumokhu                       
zisho                          Disho                         
Jijass                         Jijasa                        
Mighaa                         Migha                         
Jleee                          Jeme                          
vej                            Veje                          
Marokhs                        Marokhs                       
kopi                           Kopi                          
pAKH                           Pakho                         
gAxRi                          Gari                          
Juvothaa                       Juvotha                       
SAVEcHokHU                     Savechokhu                    
Benu                           Benu                          
Jicchadhuka                    Jicchadhuka                   
Tothi                          Totha                         
Lovii                          Lovi                          
BIPE                           Bipe                          
Lonno                          Lono                          
Meha                           Meho                          
atkhi                          Takhi                         
Jebaa                          Jeba                          
Qhogi                          Khogi                         
Nnile                          Chile                         
Vejoshuhhe                     Vejoshuhe                     
neyatha                        Neyatha                       
gonni                          Joni                          
Dokwpocha                      Dokepocha                     
Ddhaco                         Dhako                         
SoKhI                          Sokhi                         
BUCHsHA                        Buchha                        
Tebupu                         Tevupu                        
Vanocoo                        Vanocoo                       
CHuchA                         Chucha                        
apo                            Vapo                          
bibeei                         Bipemi                        
onkoo                          Nokho                         
PEHI                           Pehi                          
Arvida                         Alvida                        
BAPA                           Bapa                          
veve                           Vevi                          
Looqkebi                       Looqkebi                      
BHATA                          Bhata                         
poule                          Pule                          
Shoubi                         Shojubi                       
Khego                          Khigo                         
RUPO                           Rupo                          
Vuch                           Vucho                         
ghashazara                     Ghashasara                    
jira                           Jira                          
Hepila                         Hepola                        
Khedu                          Khidu                         
HEJJJOO                        Hejojo                        
Chilee                         Chile                         
MOOOJA                         Pooja                         
Puuri                          Puri                          
khojajo                        Khojoju                       
Heevu                          Hevu                          
Vudhhapi                       Vodhapi                       
Hucisa                         Hukisu                        
kHuChuPHALi                    Khuchuphali                   
liire                          Rire                          
Bomo                           Vomo                          
HODA                           Hoda                          
NATUSAVU                       Netusavu                      
Behe                           Beho                          
miitu                          Mitu                          
Cuhshora                       Chushora                      
Dhaati                         Dhati                         
CHISI                          Chisi                         
ado                            Bado                          
KAA                            Kal                           
yade                           Yade                          
Togejaa                        Togeja                        
Jhakomu                        Jhakamu                       
SSuya                          Suya                          
Miam                           Mima                          
BUSASHj                        Busashu                       
Neesa                          Neela                         
tilesi                         Tilesi                        
avvpHari                       Vaphari                       
ChHAnA                         Chhana                        
tali                           Tali                          
Hujeecuh                       Hujechu                       
aPita                          Pita                          
Dachacha                       Dadhacha                      
Buchy                          Buchi                         
Zhory                          Shoru                         
Nupi                           Mupi                          
Gapakhi                        Gapokhi                       
Fudha                          Ludha                         
Lello                          Lelo                          
Luuhe                          Lushe                         
Piibi                          Pibi                          
Taavu                          Tavu                          
buba                           Buba                          
dwmi                           Dumi                          
uLje                           Luje                          
Khunaado                       Khunado                       
Denau                          Dena                          
Lauvaha                        Lovaha                        
iMjo                           Mijo                          
hosuje                         Khosuje                       
Dhalaja                        Dhalaga                       
Chgatha                        Chhatha                       
peru                           Peru                          
Khadoje                        Khadone                       
Tekhu                          Tekhu                         
Zihochu                        Jihochu                       
Deshuaaa                       Deshuaaa                      
chHaKhaKUdA                    Chhakhakuda                   
KHIJU                          Khiju                         
Jhappha                        Jhapha                        
Modulabo                       Modulavo                      
Datezle                        Datele                        
Lauveee                        Lauveee                       
Zhomu                          Khomu                         
Baachula                       Bachula                       
Jodi                           Jodi                          
Nae                            Nau                           
Lagaraa                        Lajara                        
JhApa                          Jhapa                         
BUHATUGU                       Buhatugu                      
GGulahe                        GGulahe                       
DECHULE                        Dechule                       
gohod                          Gohodi                        
VInU                           Vinu                          
Pbate                          Bate                          
IHBUTHA                        Hibutha                       
Channila                       Chanila                       
Ceva                           Peva                          
Makiuh                         Makihu                        
Mokhho                         Mokho                         
SayaJae                        Sayaje                        
Lokh                           Loke                          
dhaahekhi                      Dhahekhi                      
kilichu                        Kilichu                       
Kzhataa                        Khatha                        
TnNoGhA                        Nogha                         
LADOO                          Ladoo                         
khuko                          Khuko                         
ounile                         Punile                        
lesoobu                        Lesubu                        
chsohi                         Choshi                        
khohee                         Khohe                         
lawi                           Lavi                          
sukavutu                       Sukavutu                      
Khivae                         Khive                         
Nopam                          Nopa                          
Cohoba                         Choba                         
Bhashhar                       Bhachha                       
dena                           Dena                          
KEKIYA                         Kekiya                        
SSuma                          Suma                          
ShABIkO                        Shabiko                       
kOBHa                          Kobha                         
Gotoo                          Goto                          
Hogejsi                        Hogejosi                      
chOma                          Choma                         
Lreely                         Lreely                        
Limiebe                        Limebe                        
Bemecha                        Bemechha                      
RibIBO                         Ribibo                        
Dipa                           Diba                          
Kepovi                         Kebovi                        
Gafo                           Gapo                          
Phchuve                        Phachuve                      
khuhahu                        Khuhahu                       
Khujee                         Khuje                         
GHAM                           Gham                          
Lushimi                        Rashimi                       
Nubajee                        Nubajee                       
VDIASE                         Vidase                        
tUVI                           Tuvi                          
Sheejopi                       Shijopi                       
kocho                          Kocho                         
boliru                         Boliru                        
nEsA                           Nesa                          
HogOOD                         Hogo                          
lepota                         Lepota                        
Chekoso                        Shekoso                       
Hychavu                        Hichavu                       
kaho                           Kaho                          
Paadina                        Padhna                        
Lubehii                        Lubehi                        
VIPONU                         Viponu                        
eu                             Ek                            
lilu                           Lilu                          
lIMk                           Lime                          
Dohde                          Dohe                          
relebu                         Relebu                        
Siilali                        Silali                        
Dashee                         Dashe                         
Sherooro                       Sherora                       
holudo                         Holudo                        
kurta                          Kurta                         
chimu                          Chimu                         
kHADonE                        Khadone                       
iKpo                           Kipo                          
SHAKHALO                       Shakhalo                      
Bimaa                          Bima                          
viSoPI                         Visopi                        
Neav                           Neva                          
Sughapva                       Sughapa                       
Mka                            Moka                          
vunau                          Vugu                          
Jaehe                          Jahe                          
TThabo                         Thabo                         
ruboo                          Rabo                          
Pijoshi                        Pijushi                       
Jipoo                          Jipha                         
ojha                           Vojha                         
Busaashu                       Busashu                       
hamuvo                         Chamuvo                       
Bihee                          Bihe                          
RULI                           Ruli                          
Turi                           Turi                          
RoCHoLAGO                      Rocholago                     
Netaa                          Neta                          
Haedh                          Haath                         
Vashe                          Vasha                         
Mygha                          Mugha                         
Nashu                          Noshu                         
Mino                           Muno                          
Peob                           Pebo                          
LEKE                           Leke                          
Khannu                         Khanu                         
jisu                           Jisu                          
Btu                            Batu                          
nadhaga                        Nadhaga                       
SHIHA                          Shiha                         
Hihu                           Hehu                          
MOKA                           Moka                          
TThkao                         Thako                         
Thajo                          Thaja                         
Kalaaai                        Kalaai                        
shupu                          Shupu                         
Shajubi                        Shojubi                       
Chhavu                         Chhava                        
Gechasuka                      Jichasuka                     
ROGozHDA                       Rogosha                       
Beshi                          Beshi                         
Taakhi                         Thakhi                        
REGO                           Rego                          
Kahosogha                      Kuhosogha                     
RReribu                        Reribu                        
VAHO                           Voho                          
Ninuukha                       Ninukha                       
Shide                          Shite                         
Phabeebo                       Phabeebo                      
Bhaykhi                        Bhayakhi                      
pria                           Priya                         
shookee                        Shoke                         
Chhakkhakuda                   Chhakhakuda                   
Lagaine                        Lagine                        
Booti                          Bhati                         
NASHITI                        Nashiti                       
Nedota                         Nedoda                        
Chhhasoi                       Chhasogi                      
Maanite                        Mamite                        
Tupaulaha                      Tupaulaha                     
Gabu                           Gabu                          
Nokhupa                        Nokhopa                       
KAUWA                          Kauwa                         
PuGi                           Pugi                          
Haiime                         Hakime                        
Gimu                           Gimu                          
Muru                           Muru                          
Nezijo                         Nejijo                        
xKhova                         Khova                         
Dkapu                          Dapu                          
Vejhuve                        Vejhave                       
kHOhU                          Khohu                         
SSubah                         Subah                         
Hosuu                          Hoshu                         
Roovoqeju                      Roovoqeju                     
KIggd                          Kige                          
DDhati                         Dhati                         
lelo                           Lelo                          
Jabha                          Jibha                         
Goodi                          Gohodi                        
MMote                          Mote                          
Taakhi                         Thakhi                        
SHESHU                         Sheshu                        
Hai                            Hahi                          
Hasgo                          Hasho                         
Rata                           Rada                          
Gipissi                        Gipisi                        
KHUSHAPA                       Khushapa                      
Peleya                         Paleya                        
khuluti                        Khuluti                       
gUuhO                          Gucho                         
qUnO                           Muno                          
Jhabhe                         Jhabha                        
DoKhobE                        Dokhobe                       
BeMU                           Bemu                          
rato                           Rato                          
khieko                         Chiko                         
Jsuja                          Suja                          
Thalepoko                      Tharepoko                     
yipha                          Gipha                         
HAPO                           Hapo                          
Leejeyade                      Lijeyade                      
CHHIHi                         Chihi                         
Jochaashochhi                  Jochashochi                   
Lbosha                         Lubosha                       
shoso                          Shoso                         
Venhavee                       Vejhave                       
Boochi                         Bhachi                        
Nnibu                          Nibu                          
Suneete                        Suneete                       
LEPPTOA                        Lepota                        
aYsu                           Yasu                          
nape                           Mape                          
Poghapoo                       Poghapoo                      
Jiijeeeso                      Jiijeeeso                     
ketu                           Ketu                          
Mikatfhi                       Mikati                        
Mnu                            Nau                           
Gynevu                         Ginevu                        
Dof                            Do                            
nulesu                         Nulesu                        
Rilishhure                     Rilishure                     
shuri                          Shure                         
AASMAN                         Aasman                        
GHAM                           Gham                          
Vcja                           Voja                          
Sjopha                         Shopha                        
lega                           Lega                          
Miku                           Meku                          
chobeuv                        Chobu                         
Sasagja                        Sayaja                        
Mine                           Mine                          
Rafhi                          Rachi                         
Bamrtan                        Bartan                        
Tipoonqo                       Tipoonqo                      
JHAshiI                        Jhashi                        
Zepke                          Sepe                          
horanili                       Horanili                      
Gakae                          Gakame                        
Pma                            Poma                          
Mufha                          Mucha                         
Diivupha                       Divupha                       
DIghA                          Digha                         
iLidu                          Lidu                          
gulab                          Gulab                         
VEVOBHA                        Vevobha                       
Vako                           Vaka                          
PHAVABE                        Phavabe                       
Bhabepe                        Bhabepi                       
dapHa                          Dipha                         
Levo                           Leva                          
Goluf                          Golu                          
runajha                        Runajha                       
Jnasho                         Janasho                       
Shedhharu                      Shedharu                      
Tupau                          Tupu                          
CHIRU                          Chiru                         
pura                           Pura                          
RokhipejA                      Rokhipeja                     
JIHOROYA                       Jihoroya                      
Ghovha                         Ghabha                        
sophA                          Sopha                         
eBle                           Bele                          
Pogakhu                        Pojachu                       
muCHIgUDu                      Muchigudu                     
Chadho                         Chakho                        
Topule                         Topuli                        
Khhyroda                       Khiroda                       
Gigijva                        Gigijava                      
KKukike                        Kukike                        
cpeu                           Penu                          
RETAKATI                       Retakati                      
Khojo                          Khoju                         
kAvile                         Kavile                        
Tochha                         Tuchha                        
Sohiv                          Sohi                          
Khono                          Khonu                         
Gicchokha                      Gichokha                      
MOPO                           Mopo                          
VUO                            Vuro                          
NIBU                           Nibu                          
Nnamkeen                       Namkeen                       
Mabichia                       Mabicha                       
Tooi                           Toti                          
vusu                           Vusu                          
lyaar                          Pyaar                         
